Object Number,RA,DEC,PS1 MAG,INST MAG (R=9),OFFSET
1413,13:11:20.3342,-21:45:03.520,15.73,-11.1647,26.8947
1429,13:11:21.3870,-21:40:00.472,15.71,-11.2167,26.9267
997,13:11:26.8123,-21:48:49.754,15.46,-11.4631,26.9231
1026,13:11:39.1839,-21:43:57.968,15.27,-11.6361,26.9061
966,13:11:48.1521,-21:51:10.279,15.73,-11.1630,26.8930
756,13:12:23.2171,-21:59:24.472,15.35,-11.5765,26.9265
775,13:12:24.8213,-21:56:14.207,15.79,-11.0496,26.8396
2209,13:11:42.6186,-21:36:21.818,15.93,-11.0777,27.0077
931,13:11:23.2520,-21:56:37.471,15.30,-11.6459,26.9459
989,13:11:06.8025,-21:52:49.911,15.00,-11.9259,26.9259
,,,,ZERO POINT,26.9245
,,,,ERROR,0.04282841217
