Time (s),Magnitude,Error,Zero Points,Cal mag,zp error
5687,-11.6999,0.0161,27.13775,15.4379,0.0355
6004,-11.5870,0.0188,27.1575,15.5705,0.0355
6332,-11.5486,0.0171,27.3106,15.7620,0.0492
6659,-11.2731,0.0275,27.09865,15.8256,0.0488
6981,-11.0329,0.0345,26.9415,15.9086,0.0316
7310,-11.1156,0.0295,27.1557,16.0401,0.0393
7633,-11.1615,0.0256,27.3432,16.1817,0.0248
7954,-10.6473,0.0537,26.9245,16.2772,0.0428
8275,-10.7590,0.0364,27.1399,16.3809,0.0217
8598,-10.6340,0.0440,27.0641,16.4301,0.0272
